year,team_name,team_code,performance,ccs,ccs_source_years,prior_windows,source,evaluable
1994,Brazil,BRA,final,1,1990,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Bulgaria,BGR,third-place match,0,,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Cameroon,CMR,group stage,0,,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Colombia,COL,group stage,0,,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Germany,DEU,quarter-finals,1,1986;1990,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Greece,GRC,group stage,0,,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Italy,ITA,final,1,1990,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Mexico,MEX,round of 16,1,1986,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Morocco,MAR,group stage,1,1986,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Netherlands,NLD,quarter-finals,1,1990,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
1994,Nigeria,NGA,round of 16,0,,1986;1990,Fjelstul qualified_teams.csv; prior two knockout-path World Cups,1
